seed,model,variant,target_score,separable_lower,separable_upper,separable_bound_gap,certification_converged,certification_evaluations,certified_margin,certified_detected,witness_expectation_target,normalized_margin,estimated_boundary,boundary_error,pauli_cosine,fake_fidelity,fake_trace_distance,fake_negativity,target_output_mass,fake_output_mass,linearity_error,observable_norm,witness_norm,candidate,target_p,best_epoch_instant,best_epoch_ema,best_normalized_validation_gap_instant,best_normalized_validation_gap_ema,seconds,generator_parameters,discriminator_parameters,primary
21,vqc,final_ema,0.322954702271419,0.5079735189000407,0.5084735041291644,0.0004999852281236672,1,35235,-0.18551880185774539,0,0.18551880185774539,-0.1735919423490548,0.551287389203561,0.2179540558702277,0.9452977304929989,0.9341337248003035,0.23335412473053205,0.0,1.0,1.0,3.3306690738754696e-16,0.9710718163564569,1.0687062967744685,v0_d2_g5,0.36,340,900,-0.12656611617909522,-0.05986364184435068,53.83511579991318,80,48,0
22,qsnn,best_ema,0.0,0.0,0.0,0.0,1,1,0.0,0,-0.0,0.0,nan,nan,nan,0.8932785224131392,0.296441806928234,0.0,0.8110739051596898,0.8109095616121381,0.0,0.0,0.0,q0_m90_d2_g5,0.36,0,0,0.0,0.0,36.37498539988883,80,46,1
22,qsnn,final_ema,0.05013560165404476,0.06958998246922785,0.07008744275825776,0.0004974602880299106,1,2384,-0.019951841104213004,0,0.019951841104213004,-0.2494301518000272,0.6800016709694441,0.34666833763611077,0.9003942749114856,0.7480810236757115,0.4828954443237997,0.0,0.8475497242027408,0.8489954945300288,8.326672684688674e-17,0.09449964940683261,0.0799896923456502,q0_m90_d2_g5,0.36,0,0,0.0,0.0,36.37498539988883,80,46,0
22,vqc,best_ema,-0.1308019630687619,-0.0581928049074113,-0.057692811573800976,0.0004999933326103254,1,82341,-0.07310915149496093,0,0.07310915149496093,-0.1086556019249556,0.47127269901472546,0.13793936568139215,0.9445954291834976,0.8728375978424967,0.3125534818220321,0.0,1.0000000000000007,1.0000000000000004,1.1102230246251565e-16,0.7305449259586141,0.672852114384813,v0_d2_g5,0.36,200,720,-0.15767503472849148,-0.0972201203212081,54.49625710002147,80,48,1
22,vqc,final_ema,-0.17904063409370558,-0.02323627926864208,-0.02273638646201725,0.000499892805624829,1,16981,-0.15630424763168832,0,0.15630424763168832,-0.21855644555693024,0.6311018079743699,0.29776847464103656,0.9057594891974214,0.9135284489545246,0.2411349524532608,0.0,1.0,1.0,1.3877787807814457e-16,0.7379028837638493,0.7151664973018319,v0_d2_g5,0.36,200,720,-0.15767503472849148,-0.0972201203212081,54.49625710002147,80,48,0
23,qsnn,best_ema,0.0,0.0,0.0,0.0,1,1,0.0,0,-0.0,0.0,nan,nan,nan,0.8665646034433234,0.3438522564518534,0.0,0.8117050712452613,0.8111828642093196,0.0,0.0,0.0,q0_m90_d2_g5,0.36,0,0,0.0,0.0,36.27937659993768,80,46,1
23,qsnn,final_ema,-0.011069314466613555,0.0038046595919556114,0.004303257995327057,0.0004985984023714455,1,1175,-0.015372572461940612,0,0.015372572461940612,-0.3140898942789046,0.8326859470119373,0.499352613678604,0.8513528078423986,0.9002672045252688,0.2699239924833943,0.0,0.8354076390494783,0.8359028541241358,6.071532165918825e-17,0.04463996731038787,0.04894322530571493,q0_m90_d2_g5,0.36,0,0,0.0,0.0,36.27937659993768,80,46,0
23,vqc,best_ema,0.23508516946770736,0.3696340167659622,0.3701339221599991,0.0004999053930369035,1,46671,-0.13504875269229172,0,0.13504875269229172,-0.13198138822023706,0.5157506914802407,0.18241735814690735,0.9186040336528555,0.8012671064905523,0.359770310429298,0.0,0.9999999999999996,0.9999999999999996,2.220446049250313e-16,0.8234731372546076,1.0232408865630065,v0_d2_g5,0.36,200,840,-0.1778840889200627,-0.10632808369037981,54.46911790012382,80,48,1
23,vqc,final_ema,0.18390443653449506,0.4882472852330409,0.4887472625726015,0.0004999773385606088,1,32515,-0.3048428260381064,0,0.3048428260381064,-0.25280914010127664,0.7064025052158244,0.37306917188249106,0.8822760651039422,0.8588642618553448,0.2875910960483212,0.0,1.0000000000000002,1.0,2.220446049250313e-16,0.821659028996347,1.2058220122737051,v0_d2_g5,0.36,200,840,-0.1778840889200627,-0.10632808369037981,54.46911790012382,80,48,0
24,qsnn,best_ema,0.0,0.0,0.0,0.0,1,1,0.0,0,-0.0,0.0,nan,nan,nan,0.9105000387352999,0.26057042313232026,0.0,0.8111893214031844,0.8112671022173183,0.0,0.0,0.0,q0_m90_d2_g5,0.36,0,0,0.0,0.0,36.665675500174984,80,46,1
