update,old_loss_mean,new_loss_mean,delta_loss,old_test1_mean,new_test1_mean,delta_test1,old_test2_mean,new_test2_mean,delta_test2,old_test3_mean,new_test3_mean,delta_test3,old_test4_mean,new_test4_mean,delta_test4
59,0.20018134150909817,0.15285469690958658,-0.04732664459951158,0.4685781964951333,0.30429302006959913,-0.1642851764255342,0.43193966178114895,0.4060822387536367,-0.02585742302751226,0.9189976770854571,0.9571251034736633,0.03812742638820621,0.9265752121868083,0.9701587080955505,0.04358349590874222
60,0.19934222792842532,0.15229835907618205,-0.047043868852243265,0.468063759949113,0.3042259246110916,-0.16383783533802138,0.43136433954307274,0.405741145213445,-0.02562319432962773,0.919741657312117,0.9575399080912272,0.037798250779110254,0.9273072847406364,0.9705102165540059,0.04320293181336954
61,0.1985260643763125,0.15175726811091106,-0.04676879626540145,0.4675681078267386,0.3041599834958712,-0.16340812433086738,0.43080870561391865,0.4054063508907954,-0.025402354723123244,0.920466213394809,0.9579410950342814,0.037474881639472324,0.9280196818247,0.9708496610323588,0.04282997920765885
62,0.19773182812664478,0.15123078028361003,-0.04650104784303474,0.46709029288437864,0.30409500002861023,-0.16299529285576841,0.43027176087162544,0.4050774643818537,-0.025194296489771728,0.9211720469614193,0.9583293835322062,0.0371573365707869,0.9287131374058949,0.9711776614189148,0.04246452401301992
63,0.1969585587654757,0.15071831544240316,-0.04624024332307253,0.46662942820177483,0.30403082370758056,-0.16259860449419428,0.429752571283265,0.40475413103898367,-0.024998440244281328,0.9218598313274867,0.9587053219477336,0.03684549062024689,0.9293883542567749,0.9714948177337647,0.042106463476989764
64,0.19620535344195555,0.15021929740905762,-0.04598605603289793,0.46618468277111647,0.3039672801891963,-0.1622174025819202,0.42925026302093,0.4044360061486562,-0.024814256872273788,0.9225302125209537,0.9590695420900981,0.03653932956914441,0.9300460052306416,0.9718016346295675,0.04175562939892585
65,0.19547136254443992,0.14973315397898357,-0.04573820856545635,0.465755277415011,0.3039042537411054,-0.16185102367390558,0.4287640179523025,0.40412278870741525,-0.024641229244887264,0.9231838102857253,0.9594225645065307,0.03623875422080547,0.9306867344943924,0.9720985809961955,0.041411846501803073
66,0.19475578575974495,0.14925938447316486,-0.045496401286580085,0.46534048101422504,0.3038416216770808,-0.16149885933714425,0.42829306948312174,0.4038142045338949,-0.024478864949226853,0.9238212190661014,0.9597649216651917,0.0359437025990903,0.93131115872269,0.9723861455917359,0.04107498686904587
67,0.19405786847771456,0.1487975319226583,-0.04526033655505626,0.4649396070254292,0.30377926826477053,-0.16116033876065866,0.4278366987281752,0.40350996355215707,-0.024326735176018133,0.9244430089725796,0.9600970864295959,0.03565407745701632,0.931919868255427,0.972664761543274,0.04074489328784692
68,0.19337689850712708,0.14834704399108886,-0.04502985451603822,0.464552010269167,0.3037171130379041,-0.16083489723126287,0.42739423098753293,0.4032098273436228,-0.024184403643910113,0.9250497267285492,0.960419495900472,0.035369769171922805,0.9325134282194159,0.9729348540306091,0.040421425811193235
69,0.19271220307247683,0.1479076345761617,-0.04480456849631512,0.46417708396864615,0.3036550690730413,-0.16052201489560486,0.4269650325053336,0.40291358530521393,-0.024051447200119647,0.9256418965968602,0.960732618967692,0.03509072237083177,0.9330923796146385,0.973196812470754,0.040104432856115424
70,0.19206314606434843,0.14747879107793171,-0.04458435498641672,0.46381425702064777,0.3035930648446083,-0.16022119217603947,0.42654850748932505,0.40262101689974467,-0.02392749058958038,0.9262200212849954,0.9610368331273397,0.03481681184234431,0.9336572403650517,0.9734509706497192,0.03979373028466748
71,0.1914291255189529,0.14706015189488728,-0.04436897362406561,0.46346299148071485,0.30353102684020994,-0.1599319646405049,0.42614409537048153,0.4023319214582443,-0.023812173912237222,0.926784582827526,0.9613325277964274,0.034547944968901456,0.9342085063338154,0.9736976981163025,0.03948919178248711
72,0.1908095713049599,0.146651295820872,-0.044158275484087905,0.46312278024578307,0.30346891780694324,-0.15965386243883983,0.42575126828324145,0.4020461360613505,-0.023705132221890968,0.9273360434446075,0.961620012919108,0.03428396947450052,0.93474665230281,0.9739373127619425,0.039190660459132554
73,0.1902039429980422,0.1462519367535909,-0.04395200624445128,0.46279314491846196,0.3034066617488861,-0.15938648316957588,0.4253695287482045,0.4017635017633438,-0.023606026984860695,0.9278748463754247,0.9618996938069662,0.03402484743154144,0.9352721329163731,0.9741701006889343,0.03889796777256116
74,0.1896117279255936,0.14586169719696046,-0.04375003072863315,0.46247363383824897,0.3033442298571269,-0.15912940398112208,0.42499840754041013,0.40148385167121886,-0.023514555869191267,0.9284014166856996,0.9621718843777974,0.033770467692097794,0.9357853835893143,0.9743963599205017,0.038610976331187374
75,0.18903243936589695,0.14548027118047077,-0.04355216818542618,0.4621638202660214,0.3032815933227539,-0.15888222694326748,0.42463746172760086,0.40120706061522166,-0.023430401112379207,0.9289161620485815,0.962436850865682,0.033520688817100464,0.9362868213793996,0.9746163884798685,0.038329567100468975
76,0.18846561488763666,0.14510740439097086,-0.0433582104966658,0.46186330070918274,0.30321872035662334,-0.1586445803525594,0.42428627286409265,0.4009329636891683,-0.02335330917492434,0.9294194734984693,0.9626949310302735,0.033275457531804165,0.9367768458246472,0.974830428759257,0.03805358293460981
77,0.1879108148170915,0.14474270741144815,-0.043168107405643336,0.461571693375825,0.3031555791695913,-0.1584161142062337,0.4239444453270457,0.4006614685058594,-0.023282976821186352,0.929911726157513,0.962946351369222,0.03303462521170897,0.9372558397459144,0.9750387032826742,0.03778286353675975
78,0.18736762082162545,0.14438597758611044,-0.04298164323551501,0.46128863674721166,0.3030921200911204,-0.15819651665609125,0.4236116047830263,0.40039244790871936,-0.023219156874306923,0.930393279934737,0.9631913820902507,0.03279810215551371,0.9377241700153858,0.9752414504686991,0.03751728045331337
79,0.1868356345992339,0.14403690099716188,-0.04279873360207204,0.46101378825875855,0.3030283515652021,-0.15798543669355647,0.42328739677378,0.4001258283853531,-0.023161568388426923,0.9308644801979071,0.9634303092956543,0.03256582909774719,0.9381821882916866,0.9754389325777689,0.03725674428608228
